about : 486次
unique : 34次
evolution : 34次
primary : 34次
firms : 34次
believes : 34次
dreams : 34次
languages : 34次
decision : 33次
increasing : 33次
title : 33次
quite : 33次
mr. : 33次
completely : 33次
61. : 33次
62. : 33次
friends : 33次
63. : 33次
64. : 33次
65. : 33次
becoming : 33次
called : 33次
compared : 33次
body : 33次
country : 33次
expected : 33次
research. : 33次
hope : 33次
special : 33次
years. : 33次
trade : 33次
10 : 33次
environment : 33次
love : 33次
iq : 33次
access : 33次
pencil. : 33次
private : 33次
successful : 33次
negative : 33次
animal : 33次
told : 32次
leave : 32次
passages : 32次
call : 32次
english-chinese : 32次
allow : 32次
therefore : 32次
sure : 32次
effects : 32次
responsible : 32次
approach : 32次
reasons : 32次
second : 32次
production : 32次
points : 32次
tests : 32次
let : 32次
consider : 32次
customers : 32次
impact : 32次
text. : 32次
habits : 32次
followed : 31次
work, : 31次
air : 31次
conditions : 31次
course : 31次
top : 31次
subject : 31次
later : 31次
due : 31次
religious : 31次
play : 31次
reduce : 31次
produce : 31次
original : 31次
today, : 31次
memory : 31次
easily : 31次
act : 31次
lead : 31次
billion : 31次
extra : 31次
genetic : 31次
advertising : 30次
whole : 30次
is, : 30次
particularly : 30次
people, : 30次
training : 30次
himself : 30次
account : 30次
67. : 30次
degree : 30次
course, : 30次
becomes : 30次
years, : 30次
competition : 30次
that’s : 30次
run : 30次
factors : 30次
function : 30次
remember : 30次
significant : 30次
war : 30次
quickly : 30次
investment : 30次
continue : 30次
patent : 30次
phone : 30次
example: : 29次
communication : 29次
didn’t : 29次
task : 29次
either : 29次
areas : 29次
turned : 29次
schools : 29次
68. : 29次
independent : 29次
various : 29次
commercial : 29次
rules : 29次
position : 29次
forward : 29次
serious : 29次
thing : 29次
trend : 29次
giving : 29次
obvious : 29次
larger : 29次
main : 29次
hours : 29次
capacity : 29次
experts : 29次
fully : 29次
“a : 29次
security : 29次
isn’t : 29次
ones : 29次
aspects : 29次
spending : 29次
happy : 29次
itself : 29次
newspaper : 29次
paragraphs : 29次
fear : 29次
productivity : 29次
japanese : 29次
text? : 29次
homeless : 29次
coming : 28次
five : 28次
concern : 28次
organization : 28次
iv: : 28次
success : 28次
trying : 28次
board : 28次
concept : 28次
worth : 28次
drawing : 28次
developed : 28次
female : 28次
bank : 28次
near : 28次
directly : 28次
goods : 28次
benefit : 28次
3) : 28次
feelings : 28次
immigrants : 28次
creative : 28次
world, : 28次
gap : 28次
class : 28次
else : 27次
demand : 27次
people’s : 27次
europe : 27次
requires : 27次
done : 27次
appropriate : 27次
70. : 27次
hand, : 27次
setting : 27次
achieve : 27次
sports : 27次
businesses : 27次
middle : 27次
ago : 27次
world’s : 27次
status : 27次
energy : 27次
powerful : 27次
created : 27次
effective : 27次
led : 27次
suitable : 27次
john : 27次
sleep : 27次
benefits : 27次
corporate : 27次
developing : 27次
insurance : 27次
texts. : 27次
— : 27次
healthy : 26次
feeling : 26次
moment : 26次
hold : 26次
house : 26次
69. : 26次
terms : 26次
widely : 26次
places : 26次
held : 26次
paid : 26次
began : 26次
wrote : 26次
measures : 26次
one. : 26次
require : 26次
cities : 26次
level : 26次
experience : 26次
future. : 26次
people. : 26次
cloze : 26次
freedom : 26次
standards : 26次
conduct : 26次
year, : 26次
electronic : 26次
prove : 26次
popular : 26次
hot : 26次
complex : 26次
contribute : 26次
business. : 26次
changing : 26次
relationship : 26次
【答案】 : 26次
选项a. : 26次
death : 25次
passage, : 25次
here : 25次
and, : 25次
events : 25次
v: : 25次
correction : 25次
professor : 25次
say, : 25次
office : 25次
expect : 25次
step : 25次
recently : 25次
western : 25次
goal : 25次
chance : 25次
soon : 25次
raise : 25次
exchange : 25次
doubt : 25次
decisions : 25次
cut : 25次
critical : 25次
agree : 25次
models : 25次
interested : 25次
systems : 25次
saying : 25次
stop : 25次
smaller : 25次
programs : 25次
published : 25次
material : 25次
normal : 25次
willing : 25次
states, : 25次
society. : 25次
follow : 25次
interpret : 25次
参考范文 : 25次
works : 25次
earlier : 25次
patents : 25次
build : 25次
individuals : 25次
firm : 25次
smoking : 25次
iv : 25次
notes : 25次
web : 25次
department : 25次
there’s : 24次
message : 24次
opportunity : 24次
[c], : 24次
heart : 24次
appear : 24次
wanted : 24次
eventually : 24次
caused : 24次
provides : 24次
funds : 24次
basis : 24次
gives : 24次
problems. : 24次
carbon : 24次
performance : 24次
passed : 24次
progress : 24次
lower : 24次
30 : 24次
depends : 24次
former : 24次
marketing : 24次
finding : 24次
consumption : 24次
tradition : 24次
easier : 24次
15 : 24次
journal : 24次
homework : 24次
liberal : 24次
segments : 24次
biomass : 24次
casino : 24次
area : 23次
chief : 23次
selection : 23次
enjoy : 23次
lose : 23次
starting : 23次
variety : 23次
goes : 23次
played : 23次
received : 23次
born : 23次
george : 23次
otherwise : 23次
response : 23次
despite : 23次
climate : 23次
speak : 23次
include : 23次
check : 23次
belief : 23次
therefore, : 23次
education. : 23次
demands : 23次
supposed : 23次
cover : 23次
respect : 23次
central : 23次
wrong : 23次
responsibility : 23次
except : 23次
[e] : 23次
jury : 23次
popularity : 23次
designed : 23次
completes : 23次
leading : 23次
(the : 23次
threat : 23次
related : 23次
save : 23次
word(s) : 23次
height : 23次
housing : 23次
minutes : 22次
town : 22次
emphasis : 22次
per : 22次
south : 22次
academic : 22次
chinese : 22次
exactly : 22次
allowed : 22次
fewer : 22次
involved : 22次
gave : 22次
nations : 22次
principles : 22次
influenced : 22次
difficulty : 22次
stock : 22次
however : 22次
environment. : 22次
immigration : 22次
century, : 22次
specific : 22次
favor : 22次
realize : 22次
discovered : 22次
purpose : 22次
activity : 22次
author, : 22次
whatever : 22次
phenomenon : 22次
trouble : 22次
historical : 22次
remain : 22次
computers : 22次
reach : 22次
says. : 22次
alone : 22次
fundamental : 22次
books : 22次
adults : 22次
pictures : 22次
built : 22次
argue : 22次
gone : 22次
activities : 22次
patients : 22次
helps : 22次
causes : 22次
appeal : 22次
governments : 22次
sensitive : 22次
competitive : 22次
analysis : 22次
improving : 22次
range : 22次
senior : 22次
issues : 22次
planning : 22次
economies : 22次
earn : 22次
father : 22次
gambling : 22次
sound : 21次
notice : 21次
side : 21次
words, : 21次
capable : 21次
article : 21次
fill : 21次
student : 21次
english. : 21次
theatre : 21次
flight : 21次
extremely : 21次
olympic : 21次
produced : 21次
fall : 21次
happen : 21次
experiments : 21次
someone : 21次
happened : 21次
writer : 21次
story : 21次
way, : 21次
advice : 21次
latest : 21次
england : 21次
hundred : 21次
seven : 21次
improved : 21次
necessarily : 21次
serve : 21次
frequently : 21次
open : 21次
afford : 21次
deep : 21次
night : 21次
century. : 21次
examples : 21次
secure : 21次
ensure : 21次
dioxide : 21次
equal : 21次
adult : 21次
maintain : 21次
losing : 21次
laws : 21次
ambition : 21次
balance : 21次
calls : 21次
third : 21次
exposed : 21次
trust : 21次
conscious : 21次
wealth : 21次
threatened : 21次
consequences : 21次
4, : 21次
positive : 21次
inflation : 21次
journals : 21次
week : 21次
instead. : 21次
weather : 20次
interests : 20次
earth : 20次
knows : 20次
recorded : 20次
sentence. : 20次
huge : 20次
ask : 20次
opinion : 20次
this, : 20次
define : 20次
composition : 20次
months : 20次
drivers : 20次
wide : 20次
them, : 20次
ourselves : 20次
criticism : 20次
add : 20次
stand : 20次
employment : 20次
unemployment : 20次
beginning : 20次
opportunities : 20次
workforce : 20次
practical : 20次
described : 20次
readers : 20次
education, : 20次
failed : 20次
decade : 20次
implies : 20次
provided : 20次
solution : 20次
seconds : 20次
force : 20次
standard : 20次
mentioned : 20次
figures : 20次
funding : 20次
leadership : 20次
spread : 20次
digital : 20次
smell : 20次
meaning, : 20次
townsfolk : 20次
answer: : 19次
doctors : 19次
do. : 19次
driving : 19次
yourself : 19次
phrase : 19次
accepted : 19次
express : 19次
beneath : 19次
lived : 19次
work. : 19次
official : 19次
religion : 19次
established : 19次
details : 19次
cars : 19次
famous : 19次
danger : 19次
now, : 19次
knew : 19次
meeting : 19次
elements : 19次
begun : 19次
aware : 19次
low : 19次
fail : 19次
direct : 19次
valuable : 19次
involves : 19次
entirely : 19次
ready : 19次
movement : 19次
well. : 19次
supreme : 19次
immediate : 19次
experienced : 19次
argument : 19次
started : 19次
tends : 19次
plant : 19次
technological : 19次
challenge : 19次
“it’s : 19次
efficiency : 19次
survive : 19次
cases : 19次
safety : 19次
promote : 19次
biological : 19次
offered : 19次
affect : 19次
teaching : 19次
crisis : 19次
introduce : 19次
sentences, : 19次
discovery : 19次
asking : 19次
everyday : 19次
culture, : 19次
managers : 19次
exercise : 19次
journalists : 19次
inevitable : 19次
stress. : 19次
soccer : 19次
address. : 19次
reveal : 19次
fisheries : 19次
don't : 19次
peer : 19次
it's : 19次
public-sector : 19次
keeping : 18次
wonder : 18次
job. : 18次
land : 18次
past. : 18次
correct : 18次
discover : 18次
rest : 18次
worked : 18次
worse : 18次
forces : 18次
method : 18次
fast : 18次
program : 18次
pattern : 18次
wants : 18次
presence : 18次
project : 18次
total : 18次
road : 18次
survival : 18次
defined : 18次
prevent : 18次
greatly : 18次
teachers : 18次
spent : 18次
kept : 18次
jobs. : 18次
talking : 18次
government, : 18次
reasonable : 18次
simple : 18次
widespread : 18次
greatest : 18次
suffering : 18次
traffic : 18次
younger : 18次
be. : 18次
reached : 18次
turns : 18次
20th : 18次
“we : 18次
hand : 18次
source : 18次
action : 18次
expression : 18次
usual : 18次
teach : 18次
significance : 18次
determine : 18次
term : 18次
apply : 18次
opening : 18次
warming : 18次
sport : 18次
encourage : 18次
team : 18次
players : 18次
decades : 18次
exceptional : 18次
whereas : 18次
employees : 18次
infer : 18次
publishing : 18次
indeed, : 18次
publication : 18次
robert : 18次
desire : 18次
resources : 18次
concerned : 18次
figure : 18次
excessive : 18次
advocates : 18次
rates : 18次
wish : 18次
royal : 18次
america, : 18次
origin : 18次
conservative : 18次
drive : 18次
150 : 18次
emotional : 18次
newspapers : 18次
southern : 18次
pleasure : 18次
monkeys : 18次
a-g : 18次
agency : 18次
[f] : 18次
ming : 18次
association : 18次
round : 17次
final : 17次
william : 17次
looked : 17次
ice : 17次
six : 17次
error-detection : 17次
brackets. : 17次
desirable : 17次
suddenly : 17次
enormous : 17次
now. : 17次
76. : 17次
design : 17次
ancient : 17次
thousands : 17次
scientist : 17次
reasoning : 17次
agreement : 17次
saw : 17次
on. : 17次
record : 17次
heard : 17次
part-time : 17次
us, : 17次
manage : 17次
dominant : 17次
drawn : 17次
relevant : 17次
actual : 17次
speech : 17次
ought : 17次
children. : 17次
home, : 17次
protection : 17次
white : 17次
forced : 17次
nowadays : 17次
remains : 17次
are, : 17次
supply : 17次
gets : 17次
12 : 17次
fight : 17次
mostly : 17次
awareness : 17次
statistics : 17次
street : 17次
eat : 17次
product : 17次
piece : 17次
catch : 17次
all. : 17次
shift : 17次
providing : 17次
19th : 17次
numbers : 17次
states. : 17次
40 : 17次
announced : 17次
agreed : 17次
parent : 17次
expert : 17次
extended : 17次
tv : 17次
attractive : 17次
experiences : 17次
sort : 17次
comments : 17次
offers : 17次
country’s : 17次
accounts : 17次
lifestyle : 17次
protect : 17次
challenges : 17次
messages : 17次
reliable : 17次
duty : 17次
view, : 17次
meet : 17次
biggest : 17次
generations : 17次
claims : 17次
executives : 17次
economists : 17次
& : 17次
9 : 17次
promises : 17次
6 : 17次
gdp : 17次
involve : 17次
image : 17次
paragraph, : 17次
[g] : 17次
shakespeare : 17次
universities : 17次
print : 17次
justices : 17次
rely : 16次
labeled : 16次
then, : 16次
properly : 16次
technical : 16次
certainly : 16次
regarded : 16次
north : 16次
america. : 16次
fairly : 16次
character : 16次
incorrect : 16次
sentence, : 16次
taught : 16次
today. : 16次
fishing : 16次
vi: : 16次
way. : 16次
millions : 16次
woman : 16次
believed : 16次
hence : 16次
west : 16次
plans : 16次
summer : 16次
concerns : 16次
knowing : 16次
won’t : 16次
rejected : 16次
lots : 16次
harmful : 16次
first, : 16次
type : 16次
holds : 16次
mother : 16次
fish : 16次
discipline : 16次
older : 16次
nor : 16次
signs : 16次
looks : 16次
seemed : 16次
reaction : 16次
suggested : 16次
intelligent : 16次
beings : 16次
travel : 16次
us. : 16次
felt : 16次
survey : 16次
payments : 16次
products. : 16次
system, : 16次
earth’s : 16次
addition, : 16次
scores : 16次
environmental : 16次
blame : 16次
light : 16次
uses : 16次
formation : 16次
reflect : 16次
pass : 16次
200 : 16次
eating : 16次
words. : 16次
others, : 16次
money. : 16次
poetry : 16次
50 : 16次
second, : 16次
creativity : 16次
newly : 16次
prospect : 16次
facing : 16次
shared : 16次
birth : 16次
forgetting : 16次
listening : 16次
random : 16次
policies : 16次
nuclear : 16次
birds : 16次
draft : 16次
papers : 16次
quit : 16次
marriage : 16次
text, : 16次
cultures : 16次
picture, : 16次
beauty : 16次
sites : 16次
li : 16次
rsc : 16次
letter. : 16次
slavery : 16次
strange : 15次
noise : 15次
dropped : 15次
whom : 15次
market. : 15次
stopped : 15次
statistical : 15次
judge : 15次
organizations : 15次
out, : 15次
career : 15次
lies : 15次
vast : 15次
sight : 15次
advanced : 15次
college. : 15次
university. : 15次
emerging : 15次
71. : 15次
72. : 15次
73. : 15次
74. : 15次
75. : 15次
fell : 15次
finally : 15次
military : 15次
police : 15次
site : 15次
replaced : 15次
invention : 15次
married : 15次
throughout : 15次
male : 15次
decided : 15次
raised : 15次
proper : 15次
advance : 15次
so. : 15次
store : 15次
directors : 15次
neither : 15次
relatively : 15次
achievement : 15次
bit : 15次
rapidly : 15次
precisely : 15次
measure : 15次
survived : 15次
what’s : 15次
case, : 15次
materials : 15次
advantages : 15次
claimed : 15次
concerning : 15次
apparently : 15次
separate : 15次
income : 15次
pace : 15次
methods : 15次
capital : 15次
statements : 15次
lives. : 15次
predicted : 15次
manufacturing : 15次
yet, : 15次
patterns : 15次
differences : 15次
radical : 15次
stable : 15次
possibly : 15次
party : 15次
bodies : 15次
opinion, : 15次
sea : 15次
adds : 15次
again : 15次
intends : 15次
gain : 15次
shall : 15次
associated : 15次
habit : 15次
consumer : 15次
reports : 15次
democratic : 15次
confidence : 15次
genes : 15次
tools : 15次
historians : 15次
names : 15次
parallel : 15次
personality : 15次
viewed : 15次
flow : 15次
forget : 15次
critics : 15次
contrast : 15次
ms. : 15次
debate : 15次
launched : 15次
review : 15次
soft : 15次
proposed : 15次
politics : 15次
tendency : 15次
kill : 15次
culture. : 15次
wall : 15次
japan : 15次
conventional : 15次
creating : 15次
previous : 15次
moreover, : 15次
send : 15次
model : 15次
law. : 15次
table : 15次
seek : 15次
educated : 15次
25 : 15次
http://www.topsage.com : 15次
lawyers : 15次
because, : 15次
reform : 15次
160-200 : 15次
drawing. : 15次
__________. : 15次
institution : 15次
[b]the : 15次
[d]the : 15次
dnt : 15次
____ : 15次
patient : 14次
said. : 14次
front : 14次
positions : 14次
background : 14次
humanities : 14次
rarely : 14次
extent : 14次
surrounded : 14次
largest : 14次
experiment : 14次
medicine : 14次
passing : 14次
subjects : 14次
laid : 14次
interesting : 14次
acquire : 14次
graduates : 14次
passengers : 14次
reality : 14次
included : 14次
merely : 14次
universe : 14次
themselves. : 14次
ago. : 14次
unlike : 14次
cope : 14次
executive : 14次
identified : 14次
________, : 14次
argued : 14次
you. : 14次
studying : 14次
values : 14次
depend : 14次
watching : 14次
machines : 14次
contribution : 14次
too, : 14次
heavy : 14次
severe : 14次
year. : 14次
david : 14次
meals : 14次
comment : 14次
equally : 14次
visitors : 14次
proportion : 14次
considering : 14次
contents : 14次
atmosphere : 14次
harm : 14次
bigger : 14次
existence : 14次
cash : 14次
information. : 14次
machine : 14次
substantial : 14次
another. : 14次
visit : 14次
overall : 14次
banks : 14次
unlikely : 14次
annual : 14次
britain : 14次
regular : 14次
elected : 14次
characteristics : 14次
conflict : 14次
determined : 14次
sudden : 14次
typical : 14次
church : 14次
behalf : 14次
thinks : 14次
reported : 14次
attempt : 14次
efficient : 14次
assumption : 14次
receive : 14次
constant : 14次
solve : 14次
reduced : 14次
inside : 14次
dealing : 14次
ordinary : 14次
seldom : 14次
system. : 14次
ownership : 14次
track : 14次
sales : 14次
2, : 14次
13 : 14次
secret : 14次
innovation : 14次
series : 14次
adding : 14次
refers : 14次
draw : 14次
shopping : 14次
skilled : 14次
unions : 14次
part, : 14次
creation : 14次
escape : 14次
comments. : 14次
writers : 14次
crucial : 14次
sciences : 14次
domestic : 14次
gender : 14次
7 : 14次
health-care : 14次
native : 14次
“li : 14次
powers : 14次
rule : 14次
tipping : 14次
left. : 13次
caught : 13次
cure : 13次
prior : 13次
answers. : 13次
primarily : 13次
sees : 13次
continent : 13次
treat : 13次
surprised : 13次
credit : 13次
him. : 13次
languages, : 13次
careful : 13次
room : 13次
field : 13次
host : 13次
carried : 13次
principle : 13次
originated : 13次
controlled : 13次
tried : 13次
refused : 13次
ignored : 13次
quick : 13次
arrived : 13次
him, : 13次
deny : 13次
rural : 13次
unfortunately, : 13次
sincerely : 13次
safe : 13次
rapid : 13次
suppose : 13次
read, : 13次
expressed : 13次
additional : 13次
familiar : 13次
behavior. : 13次
definition : 13次
depending : 13次
ten : 13次
home. : 13次
so, : 13次
week. : 13次
women. : 13次
seriously : 13次
convinced : 13次
property : 13次
sell : 13次
obviously : 13次
entering : 13次
consideration : 13次
chances : 13次
markets : 13次
motion : 13次
observed : 13次
leisure : 13次
proved : 13次
constitution : 13次
possibility : 13次
distinctly : 13次
won : 13次
18 : 13次
hundreds : 13次
increases : 13次
distribution : 13次
weeks : 13次
tobacco : 13次
added : 13次
province : 13次
too. : 13次
appeared : 13次
address : 13次
harder : 13次
existing : 13次
not, : 13次
claim : 13次
suggestions : 13次
abandoned : 13次
responsibilities : 13次
combined : 13次
nation : 13次
doctor : 13次
rising : 13次
partly : 13次
dickens : 13次
fair : 13次
child. : 13次
generation : 13次
limit : 13次
slow : 13次
mothers : 13次
attention. : 13次
active : 13次
factor : 13次
1, : 13次
limits : 13次
substances : 13次
psychological : 13次
worst : 13次
promoting : 13次
v : 13次
pain : 13次
meant : 13次
regard : 13次
supported : 13次
science, : 13次
director : 13次
welcome : 13次
officials : 13次
poverty : 13次
faster : 13次
revenue : 13次
reforms : 13次
ignore : 13次
university, : 13次
context : 13次
politicians : 13次
california : 13次
babies : 13次
result, : 13次
mobile : 13次
cloning : 13次
removed. : 13次
19 : 13次
infrastructure : 13次
factual : 13次
justice : 13次
managing : 13次
smells : 13次
fund : 13次
risen : 13次
ming” : 13次
essay, : 13次
dear : 13次
stores : 13次
stratford : 13次
playgoers : 13次
myers : 13次
worm : 13次
anti-happy : 13次
offering : 13次
briefly, : 13次
accounting : 13次
14 : 13次
“ : 13次
unable : 12次
buying : 12次
you’ll : 12次
up, : 12次
jump : 12次
careers : 12次
seeing : 12次
forest : 12次
covered : 12次
thus, : 12次
persons : 12次
ocean : 12次
twice : 12次
ground : 12次
houses : 12次
likes : 12次
necessity : 12次
exploration : 12次
immediately : 12次
connection : 12次
strongly : 12次
remote : 12次
